City,Date & Time,Temperature,Feels Like,Min Temp,Max Temp,Pressure,Humidity,Weather Description
Tehran,2024-05-09 18:00:00,18.85,17.55,18.85,19.1,1016,29,few clouds
Tehran,2024-05-09 21:00:00,18.59,17.26,18.06,18.59,1016,29,few clouds
Tehran,2024-05-10 00:00:00,16.43,15.2,15.22,16.43,1017,41,scattered clouds
Tehran,2024-05-10 03:00:00,14.88,13.78,14.88,14.88,1019,52,clear sky
Tehran,2024-05-10 06:00:00,17.17,16.04,17.17,17.17,1018,42,clear sky
Tehran,2024-05-10 09:00:00,20.3,19.2,20.3,20.3,1016,31,broken clouds
Tehran,2024-05-10 12:00:00,22.54,21.42,22.54,22.54,1014,22,scattered clouds
Tehran,2024-05-10 15:00:00,23.03,21.86,23.03,23.03,1014,18,clear sky
Tehran,2024-05-10 18:00:00,22.19,21.04,22.19,22.19,1016,22,clear sky
Tehran,2024-05-10 21:00:00,20.51,19.3,20.51,20.51,1017,26,clear sky
Tehran,2024-05-11 00:00:00,19.5,18.21,19.5,19.5,1017,27,clear sky
Tehran,2024-05-11 03:00:00,19.72,18.45,19.72,19.72,1018,27,clear sky
Tehran,2024-05-11 06:00:00,22.03,20.86,22.03,22.03,1019,22,clear sky
Tehran,2024-05-11 09:00:00,24.6,23.61,24.6,24.6,1017,19,clear sky
Tehran,2024-05-11 12:00:00,25.85,24.88,25.85,25.85,1015,15,clear sky
Tehran,2024-05-11 15:00:00,25.69,24.73,25.69,25.69,1014,16,clear sky
Tehran,2024-05-11 18:00:00,24.61,23.57,24.61,24.61,1015,17,clear sky
Tehran,2024-05-11 21:00:00,23.27,22.15,23.27,23.27,1014,19,overcast clouds
Tehran,2024-05-12 00:00:00,22.26,21.04,22.26,22.26,1013,19,broken clouds
Tehran,2024-05-12 03:00:00,22.27,21.1,22.27,22.27,1014,21,clear sky
Tehran,2024-05-12 06:00:00,25.23,24.25,25.23,25.23,1014,17,clear sky
Tehran,2024-05-12 09:00:00,28.2,26.78,28.2,28.2,1011,14,scattered clouds
Tehran,2024-05-12 12:00:00,28.61,27.08,28.61,28.61,1009,14,broken clouds
Tehran,2024-05-12 15:00:00,27.34,26.33,27.34,27.34,1009,21,overcast clouds
Tehran,2024-05-12 18:00:00,25.41,24.69,25.41,25.41,1009,26,light rain
Tehran,2024-05-12 21:00:00,25.16,24.38,25.16,25.16,1008,25,light rain
Tehran,2024-05-13 00:00:00,23.12,22.38,23.12,23.12,1008,34,light rain
Tehran,2024-05-13 03:00:00,22.92,22.18,22.92,22.92,1009,35,light rain
Tehran,2024-05-13 06:00:00,26.07,26.07,26.07,26.07,1009,27,light rain
Tehran,2024-05-13 09:00:00,24.83,24.18,24.83,24.83,1009,31,overcast clouds
Tehran,2024-05-13 12:00:00,23.08,22.62,23.08,23.08,1009,45,light rain
Tehran,2024-05-13 15:00:00,21.81,21.25,21.81,21.81,1009,46,moderate rain
Tehran,2024-05-13 18:00:00,22.43,21.88,22.43,22.43,1009,44,light rain
Tehran,2024-05-13 21:00:00,20.4,19.93,20.4,20.4,1009,55,light rain
Tehran,2024-05-14 00:00:00,20.2,19.63,20.2,20.2,1008,52,light rain
Tehran,2024-05-14 03:00:00,20.36,19.78,20.36,20.36,1008,51,light rain
Tehran,2024-05-14 06:00:00,19.3,18.8,19.3,19.3,1011,58,light rain
Tehran,2024-05-14 09:00:00,21.32,20.66,21.32,21.32,1009,44,light rain
Tehran,2024-05-14 12:00:00,17.71,16.89,17.71,17.71,1010,52,moderate rain
Tehran,2024-05-14 15:00:00,19.33,18.55,19.33,19.33,1010,47,moderate rain
